Price,Close,High,Low,Open,Volume
Ticker,HBL.KA,HBL.KA,HBL.KA,HBL.KA,HBL.KA
Date,,,,,
2025-01-01,162.0154266357422,162.0154266357422,162.0154266357422,162.0154266357422,0
2025-01-02,164.392822265625,167.11381285179587,161.58824078544404,161.58824078544404,4388527
2025-01-03,168.55325317382812,169.48192123539192,161.58824271209969,165.08002952225354,4584507
2025-01-06,167.20668029785156,169.85337565996724,163.90990598365713,169.85337565996724,4291933
2025-01-07,164.01206970214844,168.78542305275482,158.89511369744605,167.26240797276543,2682335
2025-01-08,160.7060089111328,165.7672469503364,159.26657059934283,164.18851409916508,673197
2025-01-09,161.72752380371094,163.4455652428693,158.33789132902962,159.82376577210437,1870419
2025-01-10,159.93521118164062,162.03399585332895,159.27585063746545,162.03399585332895,543986
2025-01-13,160.76171875,161.58823270680128,159.73089669867713,160.76171875,832354
2025-01-14,159.61016845703125,161.54179964384318,159.04368039661838,161.52322231569946,812561
2025-01-15,159.45230102539062,162.33117764265305,159.2665702498398,160.938175570497,1548222
2025-01-16,160.05593872070312,161.10532394619074,158.8115128059493,160.6131310298166,1232646
2025-01-17,160.8360137939453,161.5882326095269,159.27584417947864,160.65956460602388,1706111
2025-01-20,160.89173889160156,162.7490749827023,159.82377630735857,160.566699407519,1662367
2025-01-21,161.46751403808594,163.90991561548026,160.8917443647703,163.3527091010552,2763327
2025-01-22,159.94448852539062,162.56333913387326,159.3594373107919,161.4675035057442,3466260
2025-01-23,159.40586853027344,161.0217560732263,159.26657398792844,161.0217560732263,713488
2025-01-24,162.0618438720703,163.81702578511263,159.49872535201845,160.38095709777065,3353657
2025-01-27,161.86685180664062,163.53845721185604,161.21678697415422,162.07115992118642,2683010
2025-01-28,162.21044921875,163.33414381239314,160.38097199700837,162.869809779877,2280815
2025-01-29,161.32821655273438,163.35270612221694,159.7773425926312,163.35270612221694,1520016
2025-01-30,161.3560791015625,162.88837576733647,160.65957804069245,160.65957804069245,1126862
2025-01-31,163.43629455566406,166.60304182380995,160.65957199613896,160.81744386355444,2648935
2025-02-03,160.05593872070312,164.37423934031747,159.73089924595823,163.4455713214456,1015872
2025-02-04,157.44638061523438,161.11463088072458,156.99134232341993,160.65957841855973,1734368
2025-02-06,153.01663208007812,158.80222981863832,151.55861650161302,157.87356180800302,2172957
2025-02-07,152.4315643310547,156.47127578270673,151.55861414736168,153.23021937460902,1574322
2025-02-10,154.2703399658203,156.016240525258,148.67976821631768,152.34800437078783,516169
2025-02-11,153.72242736816406,156.89847052651575,152.53373334996286,155.087570590221,493311
2025-02-12,151.76292419433594,155.88621241785674,151.22429504915672,153.69455535176684,866334
2025-02-13,151.61434936523438,153.12808290734486,150.92714403817126,151.41933699903834,313059
2025-02-14,150.9271240234375,152.76588265548364,150.44421270631216,152.7380237497215,313820
2025-02-17,151.19644165039062,152.28298155908598,149.06979806916976,150.92713415316518,246520
2025-02-18,153.1466522216797,153.50883219601002,150.90855881013462,152.1622663514665,410196
2025-02-19,150.8714141845703,155.0875608001105,150.49065689190172,153.96386625037746,1208852
2025-02-20,148.9862060546875,151.11286379025339,147.76037161705776,151.11286379025339,898037
2025-02-21,146.915283203125,150.41636573188634,146.26521839986228,149.23695333645614,468454
2025-02-24,143.36778259277344,147.1938905443349,138.92875030809282,147.1938905443349,7249879
2025-02-25,144.62147521972656,148.58689186404638,143.20061419990463,145.8008876415955,2334637
2025-02-26,142.7734375,145.23440227453239,141.99334553361098,143.9528357736473,808789
2025-02-27,140.86965942382812,143.38634191558168,139.58809297438393,142.5505463348528,670014
2025-02-28,141.59402465820312,142.50411541769122,140.72107438731945,142.08621761172682,1146474
2025-03-03,140.5353240966797,141.9933254253964,139.30019400935493,141.15752992947967,175840
2025-03-04,142.0211944580078,142.5319647065345,140.2288719690454,141.15753999533047,217870
2025-03-05,140.85108947753906,143.01488785790926,140.33103760713004,142.08621975493583,286992
2025-03-06,142.43911743164062,143.01488711799306,140.50748608700746,141.94692447323922,380000
2025-03-07,143.00558471679688,143.5720727410135,142.2440701854063,143.00558471679688,213958
